codename,labelname
,
,
swm_tc2_HTC_gass18_areageo,GASS18
swm_tc2_HTC_gass18_areatiel,GASS18-TILE
,
,
,
icos_pol_scvt_h1, SCVT
HR95JT, HR95
,
,
,
,
PV_ed,Potential Vorticity (Edges)
PV_hx,Potential Vorticity (Cells)
PV_tr,Potential Vorticity (Triang)
abs_vort,Absolute Vorticity
divuh,Flux Divergence (Div(uh))
grad_ghbK,Grad of Bernoulli Pot.
grad_ghbKexact,Grad of Bernoulli Pot. (exact)
h_ed,Depth (Edges)
h_tr,Depth (Triang)
kenergy,Kinetic Energy
kenergy_tr,Kinetic Energy (Triang)
lapu,Laplacian 
masseq,Mass Eq.
momeq,Mom. Eq.
q_grad_tr,Pot Vorticity Grad (Triang)
uhq_perp,Perp Operator (uhq)
vh_hx,Velocity Vec (vh)
vhq_hx,Velocity Vec (vhq)
vhq_tr,Velocity Vec (vhq at Triang)
q_ed,Potential Vorticity (Edges)
q_hx,Potential Vorticity (Cells)
q_tr,Potential Vorticity (Triang)
